"Відштовхує тим, що абревіатура на англійській мові, не відразу зрозумієш що назва відноситься до страхової діяльності";0
"1. Ассоциация, что это абревиатура международной компании. Интересна ее расшифровка. К какой конкретно компании она относится здесь не понятноАбревиатура подходит к названию страховой компании, но это не подразумевает ее пренадлежность только к страховой компании. А название само по себе не вызывает не негатива не позитива, главное, чтобы компания выполняла свои обязательства и имела хорошую репутацию Относительно доверия по названию я не могу сказать, для этого я обычно читаю отзывы либо советуюсь с людьми относительно определенной компании, чтобы понимать на сколько она хороша для сотрудничества...";0
"1.Аббревиатура ARX ассоциируется чем-то древним, старым, давно существующим.2. Название скорее отталкивает по причине непонятных трех английских букв. Вероятно, они должны как-то расшифровываться, но ломать над этим голову не охота. Хотя, учитывая, что компания международная, от английского языка уйти сложно, но все же хочется, чтобы название страховой (это, в том числе, и жизнь и другие важные гарантии) компании было понятным нашему, славянскому уху.3. Для меня это название больше ассоциируется со страхованием жизни или чего-то старинного, не автострахование. 4. Довериться, наверное, могла бы. Но не в плане автострахования.";-1
1. Асациация с названием велосипеда ВМХ,0
"Ассоциация почему-то с автосервисом. Не отталкивает, лаконичное название. Да, вполне нормальное название для страховой компании. Если бы у нее название подкреплялось рейтингом - да, доверилась бы.";1
"Привіт! Асоціацію викликає з гонками раллі чи мотоперегонами, там теж є всякі такі абревіатуриНазва прийнятна, мене особисто не відштовхує Так як асоціюється з ""авто-мото"" то в принципі міг би і користуватися послугами компанії";1
"Просто, а діловому стилі, для страхової компанії назва непогана. Можливо і стала б користуватись послугами компанії з такою назвою.Асоціація з автотоварами, для автострахування це норм!";
"1.Название напоминает название интернет сайта,что то вроде OLX.2.Нравится тем,что аббревиатура может быть связана с автомобилями,а не нравится тем,что это может означать что угодно,и не обязательно страховую компанию.3.Думаю,что для страховой компании ,лучше брать слово,а не аббревиатуру.4.Довериться можно,риск- дело благородное!)))Главное побольше ирформации.";1
"Название нравится Лаконичное, легко запоминается, произносится, Конечно могла быть названием автостраховой компании Название не отталкивает, но четко сложно понять чем занимается данная компания.Возможно я и воспользовался их услугами";0
"1. Ассоциируется с запчастями для автомобилей. 2. Нейтральное название и не нравиться но и не отталкивает. 3. Да, возможно могла б. 4. Если б узнал больше именно про эту компанию тогда б да смог бы довериться";-1
"1. ассоциация с грохотом камней, чем-то тяжелым, если по ассоциациям со страховыми: это АКСА? похоже на них название. 2. ркс - нагромождение согласных, не очень удобное для произношения, не очень нравится. 3. да могла бы чем угодно заниматься. 4. наверное могла бы, если б знала о ней положительные отзывы.";-1
Назва не подобається.Яб не довірила.Якщо б хіба мала не погану репутацію.,-1
"Название ассоциируется с Рексом.Название кажется вполне подходящим для автострахования. Отталкивающего эффекта от названия точно нет, доверилась бы такой компании";0
"У меня первая ассоциация была, что это ТМ которая изготавливает детали для машин. А это аббревиатура? Если да, то как расшифровывается? Название не отталкивает :)";0
"1. У меня две ассоциации: что-то связанное со спортом или фитнесом и мужской дезодорант, созвучно. 2. Если это аббревиатура, то непонимание чего. 3. Возможно и могла, но не 100% удачное название. 4. Скорее нет.";0
"Ассоциация с чем-то воздушным, легким. Нравится это лаконичное название. Эта компания вполне может заниматься автострахованием. Довериться этой компании могла бы.";1
назва прийнятна...довіритись можна скоріш так чим ні,0
"1. Ассоциация с маркой автомобиля — ASX/WRX. Ещё есть такй автомат. 2. Мне кажется, что сочетание близких по звучанию букв A и R будет сливаться в произношении, тем более в украиноязычном сегменте. Врятли кто-то будет говорить: «у меня автомобиль зарстрахован в ЭйАрЭкс». В реальности будет что-то типа «АЭрИкс», или «АЭрХа», ну или «А-английская р, как я только наоборот-Хэ». Как правильно озвучить такое название по телефону, если на другом конце человек слабо знаком с английским алфавитом? 3. Смогла бы, а почему нет?🙂4. «я застрахован в А-Эр-Икс», «у меня каско от эй-Эр-Экс». Звучит норм, по крайней мере, мне слух не режет. В моём списке критериев выбора название было бы не на первом месте. Тут речь о данной синтаксической конструкции, поскольку, если название поместить в контекст типа «ARX, ранее известная как «какая-то мегокрутая и популярная страховая компания»», или «ARX, часть холгинга/группы/партнёр/итд «какой-то другой модный или не очень бренд»», то, конечно, само название отойдёт на второй, а то и третий план.";-1
"1. Ассоциируется с названием зоотоваров 2. Сама аббревиатура сложно выгававается, не хватает гласных букв 3. Товары для собак ""Рекс"")) 4. Скорее всего нет";-1
"1. У меня такое название ассоциируется с непонятной для меня аббревиатурой, которая напоминает гибрид автомобиля класса RX. Или как писали выше с товарами для собак REX.2. Как по мне, то название не очень для страховой компании, так как сложно произносится, не информативно и ни о чём не говорит при первом знакомстве с данным названием. 3.4. Такая компания может заниматься любым видом хозяйственной деятельности в том числе и страхованием, но лично я б в компанию с таким названием не обратилась, так как она не вызывала б у меня доверия и не внушала бы уверенности. Мне такое название страховой компании не понравилось и оно меня отталкивает.";-1
"1. Дезодорант. 2. Отталкивает, грубо. 3. Нет, что-то с архивом. 4. Нет";-1
"1. Какая-то финансовая группа но не страховая компания 2 Окончание на согласные не очень к себе располагает 3 Не думаю 4 Только в том случае, если бы мне ее посоветовали или это компания которую я знал по старому названию";-1
"1. Название вызывает ассоциации с робототехникой, гидравлическими установками. Вызывает впечатление серьезности. 2. Название достаточно самобытное, звучит довольно твердо - засчет сочетания букв. 3. Компания могла бы заниматься автострахованием, наличие в названии буквы А предполагает использование в аббревиатуре слова automobile 4. Да, могла бы";1
"1. Асоціації- так, щось повязане з авто. Скоріш за все іноземна компанія. Промовляєттся ""а ер ікс"" легко. Враження- треба додати посилання на страхування/захист. 2. Подобається. Коротко та лаконічно, легко запамятати. Відштовхує незрозумілим змістом назви. 3. Так могла, якщо додатково вказати у назві ""страхування"". 4. Ні, бо не знаю чим займається";1
Ассоциация с авиокомпанией. Не скажу что я запомнила бы это название с первого раза. Думаю что могли бы заниматься. Даверяла бы или нет... Вопрос времени и качественного предоставления услуг.,0
"1. Возникает ассоциация с автомобилями 2.Коротко,лаконично,легко произносить 3.могла бы,почему нет 4.возможно воспользовался,если бы знал конкретные условия и стоимость услуги";1
"По поводу довіри... Назва не має значення. Коли несу гроші, смотрю на історію компанії та відгуки клієнтів...";-1
"1. Название неудобно для выговаривания (две согласные подряд) 2. Непонятно о чем речь, не люблю неясность.3 могла бы. 4. Смотря какие бы там были условия страхования";-1
"1. Ассоциируется с животными семейства Кошачих. 2. Название отталкивает.3. Не похоже, что компания с таким названием занимается автострастрахованием.4. Врят ли бы доверилась";-1
"1. Ассоциации с модемами определенных марок автомобиля. 2. Сложное произношение, не хватает гласной буквы между R и X. И плохо звучит в контексте предложения 3. Автострахования, заглавная буква А, в подсознании даёт об этом знать 4. Скорей всего, нет.";-1
"Трудно произнести. Непонятно что значит. Завтраховал бы авто? Да, главное чтоб это удобно и быстро можно было сделать.";-1
"1.название ассоиируется с названием страховой компании, буква r может трактоваться как ремонт2. Да нравится, как вся абривиатура 3. Если это страховка, то r – регенирация 4.да возможно нужно понять , что обещают";1
"1. Асоціації мабуть пов'язані з авто. Перша літера- авто, автострахування.2. Назва подобається.3. Я думаю - так, но для користувачів України- треба додати якусь інформацію, більш детальну про назву- автострахування.4. Я думаю довірилась би.";1
"Название неудобно для выговаривания,ассоциация с дикими кошками(почему-то)для меня абсолютно непонятно с чем связана компания с таким названием,а так как первое впечатление произвело достаточно непонятное доверять не стала бы...";-1
"Ассоциируется название с сайтом по продаже автомобилей RST Легко запоминаеться Да могла бы Могу доверять компании только после положительный отзывов пользователей, а одному названию к сожалению доверять не могу";1
"1. Асоціація з моделлю Мітсубісі, враження спокійне.2. Абсолютно нейтральне для мене в неї немає нічого особливого.3. З такою назвою вона може займатися будь-чим.4. Все залежить від умов і рекомедацій.";0
1.асолютно нейтральный набор букв. 2. Сложно произнестм вслух. 3. Да вполне. 4 . Да. Ничего отталкивающего.,-1
"1. Ассоциируется с итальянским автоматом Beretta ARX-160. 2. Отталкивает, так как ассоциация идет с оружием 3. Нет 4. Нет, так как ассоциация идет с оружием.";-1
"1.Название не вызывает ассоциаций с автомобилями или страхованием. 2. Напоминает больше название вида фитнеса. 3. Да. 4. Возможно, если бы имел информацию об условиях и цене.";-1
"Название не понятное,какой то набор букв, сложно будет запомнить. Ни с чем не ассоциации не вызывает, можно воспользоваться их услугами если они не первый год на рынке,не уверена что доверила им свой автомобиль для страховки.";-1
"1.Чем то напоминает РСТ,и можно предположить, что это тоже услуги. 2.Три большие буквы всегда как то привлекают глаз, чтобы не нравилась мне,то такого нет3.Ну,не очень сразу понятно,что это страхование,хотелось бы попроще 4.Если бы пришлось или кто то посоветовал,то доверилась бы.";1
"1.Ассоциаций никаких, очередное название-аббревиатура. 2.Не нравится и не отталкивает, не вызывает никаких эмоций. 3.Да, почему нет. 4.Первое впечатление – «Выбирать страховую компанию по названию? Вы серьёзно?»";-1
1. Асоціації з авто. 2.Назва тяжка для вимови і запам'ятовування. 3. Зі страховкою важко пов' язати. 4. Треба більше інформації.,-1
"1. Название ассоциируется со стиральным порошком. Вторая ассоциация - запчасти для автомобилей. 2. Нравится тем, что оно короткое. Не нравится - две согласные после одной главной, да еще и такие, сложно для произношения. 3. Думаю, что нет. 4. 50/50. Если бы тут сыграл личностный фактор (знакомые, работающие там) - возможно да. Если с компанией не имел до этого дел - нет.";-1
"1. Не с чем, вообще не понятно о чем речь 2. Определённо отталкивает 3. Возможно могла но не думаю что удачно 4. Не доверил бы";-1
"1. Больше ассоциируется с запчастями для авто чем со страховой. 2.в принципе чем-то напоминает AXA 3.все равно остаётся ассоциация с чем-то помимо страховой, но это дело привычки и рекламы. В принципе если часто будешь слышать, то быстро запомнишь. 4. Все зависит от предложенных условий, в принципе Да";1
Набор букв-(((( не подобається.,-1
"1. Асоціація з автотематикою, але не зі страхуванням";0
"Асоціація з назвою якоїсь техніки ,для страхової компанії потрібне щось більш зрозуміле 2.Назва не завжди має значення 3. Цілком може займатись 4.Довірився";-1
"1. Мне очень нравится эта название запоминающейся, ассоциация с RST) 2. Нравится что короткое и лёгкое.. 3.Да конечно могла... 4.Да могла бы...";1
Название вызывает с автомобилем Acura arx. Главное условия страхования.,0
"1 Ассоциация с тренажёром TRX 2. Нейтральное название, ничего особенного 3. Если бы дальше шла расшифровка,то вполне 4. Да, если бы ознакомиться с";0
Больше напоминает разрекламированную продукцию AXE) Никаких ассоциаций со страховой компанией и страхованием автомобилей. Название компании аббревиатурой - не самая лучшая мысль. Да и по названию выбирать страховую - глупость.,0
"1.Ассоциация со спортом, петли ТRХ. 2. Не нравится, сложно запоминается. 3. Нет. 4. Сложно сказать больше нет, чем да.";1
Нравится.легко запоминается.,-1
"1. Относительно написания: данное название у меня ассоциируется со страховой компанией ""AXA"" (особенно четко всплывает ассоциативный ряд при беглом взгляде: в обоих названиях компаний содержится по три буквы, две буквы из трех - аналогичные, и профиль работы компаний - один. 2. Мне кажется, что данное название при первом появлении на рынке будет не особо звучным и тяжело выговариваемым для обычных граждан. Например, из букв, которые аналогично звучат, как в русском, так и английском языке, в данном названии содержится только одна ""А"". Поэтому, одни люди будут называть (и ассоциировать) компанию АЯХ, а другие АРКС. Ничем не нравится - обычная аббревиатура. 3. Естественно, могла бы, только при хорошем маркетинговом сопровождении. Иначе, сложно определить из данного названия вид деятельности данной организации. 4. Абсолютно нейтральное название, поэтому, в любом случае, начала бы искать дополнительную информацию.";-1
Асоціація зі зброєю. Напівавтомат системы AR,0
"1.Ассоциации больше с комплектующими для машины,чем со страховкой. 2.Название легко запоминается,но тяжело выговаривать. 3.Думаю,что могла бы.При условии,что данная аббревиатура была бы включена в какой-нибудь рекламный слоган,который бы давал понять,что компания занимается страхованием. Иначе трудно понять род деятельности. 4. Без дополнительной информации, скорее всего нет.";-1
"Трудно произносить никаких эмоций не вызывает , просто 3 буквы ,";-1
"1. Ассоциации с какой то детской игрой, впечатление что меня хотят обмануть. 2. Не нравится что название похоже на какой-то "" лохотрон"". 3. Нет. 4. Нет, потому что не вызывает доверия.";-1
"1. Архітектурне рішення, споруда тощо. 2.Коротка, тому легко буде запам'ятати. Трохи агресивна назва, адже саме звуки ""р"" ""к"" дуже сильні і часто викликають негативні емоції при їх насичені. 3. Цілком 4. Можливо";1
